watchlist_rank,account_id,borrower_type,product_type,sector,region,bureau_score_band,dpd_band,interest_rate_type,fx_exposed,ead_kes,baseline_pd,stressed_pd,baseline_lgd,stressed_lgd,baseline_stage,stressed_stage,stage_migration_status,baseline_ecl_kes,stressed_ecl_kes,incremental_ecl_kes,ecl_uplift_pct,combined_pd_multiplier,stress_vulnerability_score
1,SYN-000709,SME,SME Term Loan,Manufacturing,North Eastern,Subprime,1-29 DPD,Variable,True,6932750.15,0.127954,0.8294793091072,0.538463,0.6730787500000001,Stage 1,Stage 3,Deteriorated,477656.05,4064117.772883992,3586461.722883992,750.8460790738422,6.4826368,0.96464
2,SYN-004842,SME,SME Term Loan,Agriculture,Nairobi,Subprime,1-29 DPD,Variable,False,6406919.27,0.13127,0.638231799552,0.565908,0.7073849999999999,Stage 1,Stage 3,Deteriorated,475949.17,3037196.1179199754,2561246.9479199755,538.1345549819902,4.8619776,0.95787
3,SYN-005924,SME,SME Term Loan,Manufacturing,Nyanza,Subprime,1-29 DPD,Variable,True,9343446.71,0.091198,0.5912035108864,0.516903,0.64612875,Stage 1,Stage 3,Deteriorated,440454.93,3747593.545014452,3307138.615014452,750.8460888414739,6.4826368,0.957325
4,SYN-002692,SME,SME Term Loan,Manufacturing,Coast,Subprime,Current,Variable,True,17295051.85,0.087867,0.506856220416,0.525147,0.65643375,Stage 1,Stage 3,Deteriorated,798047.16,6042085.269921317,5244038.109921317,657.1087991743892,5.768448,0.95468
5,SYN-000336,SME,Asset Finance,Tourism and Hospitality,Rift Valley,Subprime,1-29 DPD,Fixed,True,5077151.65,0.129264,0.69046729155,0.374942,0.4686774999999999,Stage 1,Stage 3,Deteriorated,246071.78,1725149.154089715,1479077.3740897153,601.0755780649514,5.341528125,0.9539
6,SYN-009691,SME,SME Term Loan,Manufacturing,Nairobi,Subprime,1-29 DPD,Fixed,False,7734466.94,0.132984,0.538804357632,0.623389,0.77923625,Stage 1,Stage 3,Deteriorated,641193.21,3409729.552457845,2768536.342457845,431.77879916380357,4.051648,0.953755
7,SYN-001819,SME,SME Term Loan,Trade,Nairobi,Subprime,1-29 DPD,Variable,False,7037165.77,0.110407,0.55468957291264,0.559354,0.6991925,Stage 1,Stage 3,Deteriorated,434591.41,2865720.588186516,2431129.178186516,559.4057135612773,5.024043519999999,0.9537250000000002
8,SYN-003341,SME,SME Term Loan,Trade,Coast,Subprime,1-29 DPD,Variable,False,14314343.15,0.094777,0.4761637726950399,0.487438,0.6092974999999999,Stage 1,Stage 3,Deteriorated,661292.76,4360602.203030989,3699309.443030989,559.4057075463807,5.024043519999999,0.952305
9,SYN-000237,SME,SME Term Loan,Construction and Real Estate,Central,Subprime,1-29 DPD,Variable,False,11631999.03,0.093791,0.4750101469599999,0.58969,0.7371125000000001,Stage 1,Stage 3,Deteriorated,643338.12,4276419.6786599485,3633081.558659949,564.7235016417104,5.064559999999999,0.95202
10,SYN-005182,SME,SME Term Loan,Construction and Real Estate,Nairobi,Subprime,1-29 DPD,Variable,False,18431235.5,0.088366,0.4475349089599999,0.489873,0.6123412500000001,Stage 1,Stage 3,Deteriorated,797853.49,5303519.632472237,4505666.142472236,564.7234986052686,5.064559999999999,0.9509450000000002
11,SYN-008668,SME,Asset Finance,Tourism and Hospitality,Rift Valley,Subprime,1-29 DPD,Variable,True,6274295.42,0.086691,0.5927198907960001,0.349928,0.43741,Stage 1,Stage 3,Deteriorated,190334.57,1708018.111904162,1517683.541904162,797.3767150676632,6.837156000000001,0.950865
12,SYN-006885,SME,Microenterprise Loan,Manufacturing,Nairobi,Subprime,1-29 DPD,Variable,True,1829829.3,0.106429,0.6899405519872,0.759163,0.94895375,Stage 1,Stage 3,Deteriorated,147844.64,1257930.3477156942,1110085.7077156943,750.8460960882277,6.4826368,0.949695
13,SYN-003744,SME,SME Term Loan,Transport and Logistics,Nairobi,Subprime,Current,Variable,True,8727631.53,0.076987,0.4683819791700001,0.551915,0.6898937500000001,Stage 1,Stage 3,Deteriorated,370839.51,2961202.37873816,2590362.8687381595,698.5131839749652,6.083910000000001,0.949615
14,SYN-002914,SME,Asset Finance,Tourism and Hospitality,Eastern,Subprime,1-29 DPD,Variable,False,3659698.23,0.114177,0.6245167684896001,0.394153,0.4926912499999999,Stage 1,Stage 3,Deteriorated,164698.16,1182370.3440816451,1017672.1840816452,617.901368225149,5.469724800000001,0.946655
15,SYN-004463,SME,SME Term Loan,Transport and Logistics,Central,Subprime,Current,Variable,True,16991826.86,0.065766,0.4001144250600001,0.597269,0.74658625,Stage 1,Stage 3,Deteriorated,667438.84,5329587.164166195,4662148.324166196,698.5131887389406,6.083910000000001,0.946615
16,SYN-002971,SME,SME Term Loan,Trade,Nairobi,Subprime,Current,Variable,True,3538365.44,0.100783,0.5631939480719999,0.547954,0.6849425,Stage 1,Stage 3,Deteriorated,195404.28,1433191.0173938165,1237786.7373938162,633.449143178346,5.588183999999999,0.94661
17,SYN-005035,SME,Asset Finance,Construction and Real Estate,Nairobi,Subprime,1-29 DPD,Variable,False,5023687.63,0.100225,0.5075955259999999,0.457391,0.57173875,Stage 1,Stage 3,Deteriorated,230295.95,1530831.322575292,1300535.372575292,564.7235101508697,5.064559999999999,0.9445
18,SYN-001570,SME,SME Term Loan,Manufacturing,Eastern,Subprime,Current,Variable,True,13288361.71,0.066515,0.38368831872,0.57187,0.7148375,Stage 1,Stage 3,Deteriorated,505461.81,3826895.867386188,3321434.057386188,657.108804597164,5.768448,0.94352
19,SYN-008221,SME,SME Term Loan,Transport and Logistics,Rift Valley,Subprime,1-29 DPD,Fixed,False,8364669.26,0.100636,0.43004001951,0.462125,0.57765625,Stage 1,Stage 3,Deteriorated,389010.75,2181807.4588956786,1792796.7088956786,460.8604540865975,4.2732225,0.943205
20,SYN-001776,SME,Asset Finance,Trade,Nairobi,Subprime,1-29 DPD,Variable,False,4625819.6,0.102914,0.5170444148172799,0.434037,0.54254625,Stage 1,Stage 3,Deteriorated,206628.35,1362519.1289776247,1155890.7789776246,559.4057054502078,5.024043519999999,0.943205
21,SYN-008089,SME,SME Term Loan,Agriculture,Central,Subprime,1-29 DPD,Variable,False,2370790.31,0.122856,0.5973231200256001,0.578514,0.7231425,Stage 1,Stage 3,Deteriorated,168501.35,1075265.3567673252,906764.0067673252,538.134564955904,4.8619776,0.943015
22,SYN-007310,SME,SME Term Loan,Tourism and Hospitality,Nairobi,Standard,1-29 DPD,Variable,True,7667293.11,0.068825,0.4056614325,0.648004,0.8100050000000001,Stage 1,Stage 3,Deteriorated,341952.65,2645347.832199992,2303395.182199992,673.6006234196436,5.894100000000001,0.94298
23,SYN-009830,SME,SME Term Loan,Construction and Real Estate,Western,Subprime,Current,Variable,False,15104118.98,0.0824,0.37134384,0.566684,0.708355,Stage 1,Stage 3,Deteriorated,705283.23,4171688.622441077,3466405.392441077,491.49125415063065,4.506600000000001,0.942145
24,SYN-000374,SME,SME Term Loan,Services,Central,Subprime,1-29 DPD,Variable,False,14249527.67,0.08374,0.373213503872,0.531088,0.66386,Stage 1,Stage 3,Deteriorated,633723.65,3707008.81687444,3073285.1668744395,484.9566789679444,4.456812800000001,0.941935
25,SYN-007748,SME,Asset Finance,Transport and Logistics,Nairobi,Subprime,Current,Fixed,True,7271463.98,0.096863,0.4603951361953126,0.352993,0.44124125,Stage 1,Stage 3,Deteriorated,248625.61,1551022.1120830826,1302396.502083083,523.8384340547552,4.753054687500001,0.94189
